Learning Rate	TrainLoss	TestLoss	TrainL(intrr)	TrainL(bndry)	TrainL(intfc)	
0.00100000	0.16062573	0.00005594	0.01458738	0.00005256	0.00000033	
0.00100000	0.15985068	0.00005551	0.01451156	0.00005224	0.00000033	
0.00100000	0.15915884	0.00005480	0.01443845	0.00005195	0.00000031	
0.00100000	0.15862878	0.00005485	0.01436435	0.00005168	0.00000033	
0.00100000	0.15766515	0.00005365	0.01429174	0.00005151	0.00000033	
0.00100000	0.15704566	0.00005350	0.01421906	0.00005129	0.00000037	
0.00100000	0.15563381	0.00005312	0.01414763	0.00005097	0.00000031	
0.00100000	0.15511534	0.00005229	0.01407728	0.00005081	0.00000031	
0.00100000	0.15487711	0.00005174	0.01400700	0.00005100	0.00000053	
0.00100000	0.15577412	0.00005076	0.01393799	0.00005130	0.00000085	
0.00100000	0.16973496	0.00004997	0.01386934	0.00005872	0.00000538	
0.00100000	0.40783706	0.00008199	0.01380908	0.00019440	0.00008827	
0.00100000	3.29547390	0.00007176	0.01371096	0.00125493	0.00072856	
0.00100000	0.98280329	0.00005516	0.01347714	0.00036619	0.00017319	
0.00100000	0.56897704	0.00007837	0.01360991	0.00019702	0.00006840	
0.00100000	0.42191173	0.00005729	0.01386440	0.00013828	0.00004219	
0.00100000	0.22796616	0.00005928	0.01406381	0.00007742	0.00001262	
0.00100000	0.21456054	0.00005879	0.01405095	0.00007018	0.00000982	
0.00100000	0.17446848	0.00005624	0.01393230	0.00005870	0.00000294	
0.00100000	0.16783382	0.00005337	0.01381255	0.00005622	0.00000153	
0.00100000	0.16211982	0.00005376	0.01372102	0.00005455	0.00000084	
0.00100000	0.15829695	0.00005255	0.01366711	0.00005307	0.00000038	
0.00100000	0.15631408	0.00005182	0.01361691	0.00005208	0.00000035	
0.00100000	0.15410125	0.00005151	0.01355468	0.00005147	0.00000034	
0.00100000	0.15393541	0.00005078	0.01348848	0.00005124	0.00000037	
0.00100000	0.15296262	0.00004992	0.01341951	0.00005096	0.00000032	
0.00100000	0.15281529	0.00004982	0.01335290	0.00005074	0.00000032	
0.00100000	0.15153370	0.00004930	0.01328896	0.00005046	0.00000031	
0.00100000	0.15057510	0.00004893	0.01322658	0.00005018	0.00000031	
0.00100000	0.15011848	0.00004816	0.01316557	0.00005003	0.00000033	
0.00100000	0.14995664	0.00004769	0.01310293	0.00005018	0.00000055	
0.00100000	0.14959887	0.00004784	0.01304008	0.00004984	0.00000048	
0.00100000	0.14810026	0.00004810	0.01297897	0.00004960	0.00000044	
0.00100000	0.15570601	0.00005187	0.01291897	0.00005390	0.00000317	
0.00100000	0.33574334	0.00010752	0.01285197	0.00016090	0.00006743	
0.00100000	3.95870595	0.00011364	0.01280804	0.00166159	0.00094563	
0.00100000	1.46520759	0.00008661	0.01251998	0.00051218	0.00023179	
0.00100000	1.04928551	0.00005640	0.01272164	0.00035550	0.00013867	
0.00100000	0.42067581	0.00006288	0.01308496	0.00015764	0.00004723	
0.00100000	0.28312824	0.00006234	0.01336066	0.00009465	0.00002097	
0.00100000	0.23617809	0.00005476	0.01337823	0.00007780	0.00001192	
0.00100000	0.18810031	0.00005487	0.01322210	0.00006482	0.00000543	
0.00100000	0.16777224	0.00005347	0.01307693	0.00005844	0.00000181	
0.00100000	0.16414764	0.00005067	0.01298497	0.00005678	0.00000127	
0.00100000	0.15772300	0.00004964	0.01293809	0.00005440	0.00000074	
0.00100000	0.15380216	0.00004914	0.01289415	0.00005262	0.00000050	
0.00100000	0.15231929	0.00004882	0.01283682	0.00005188	0.00000046	
0.00100000	0.15113859	0.00004801	0.01277186	0.00005136	0.00000038	
0.00100000	0.15027970	0.00004701	0.01270580	0.00005120	0.00000042	
0.00100000	0.14898514	0.00004713	0.01264402	0.00005077	0.00000037	
0.00100000	0.14832979	0.00004640	0.01258521	0.00005046	0.00000035	
0.00100000	0.14739153	0.00004633	0.01252646	0.00005010	0.00000035	
0.00100000	0.14680280	0.00004579	0.01246828	0.00004984	0.00000033	
0.00100000	0.14598046	0.00004557	0.01240985	0.00004960	0.00000032	
0.00100000	0.14535316	0.00004548	0.01235137	0.00004942	0.00000035	
0.00100000	0.14491382	0.00004464	0.01229478	0.00004927	0.00000035	
0.00100000	0.14368756	0.00004461	0.01223776	0.00004900	0.00000034	
0.00100000	0.14329156	0.00004411	0.01218181	0.00004879	0.00000032	
0.00100000	0.14268092	0.00004426	0.01212604	0.00004861	0.00000034	
0.00100000	0.14299902	0.00004385	0.01207128	0.00004855	0.00000039	
0.00100000	0.14275664	0.00004400	0.01201623	0.00004863	0.00000055	
0.00100000	0.14201922	0.00004322	0.01196332	0.00004845	0.00000052	
0.00100000	0.14114344	0.00004391	0.01191031	0.00004835	0.00000062	
0.00100000	0.16165119	0.00005081	0.01185404	0.00006001	0.00000746	
0.00100000	0.54548757	0.00014041	0.01180012	0.00027731	0.00013134	
0.00100000	3.87731911	0.00003996	0.01169764	0.00129287	0.00069337	
0.00100000	0.97067770	0.00008052	0.01153451	0.00034022	0.00013773	
0.00100000	0.67457534	0.00005048	0.01176954	0.00022384	0.00007688	
0.00100000	0.26799927	0.00005492	0.01205442	0.00009491	0.00001996	
0.00100000	0.23728976	0.00005135	0.01217975	0.00007952	0.00001454	
0.00100000	0.16935183	0.00004956	0.01209015	0.00005912	0.00000392	
0.00100000	0.16508070	0.00004601	0.01195318	0.00005764	0.00000312	
0.00100000	0.15271017	0.00004454	0.01185572	0.00005374	0.00000116	
0.00100000	0.14865406	0.00004506	0.01180571	0.00005197	0.00000079	
0.00100000	0.14553364	0.00004361	0.01177158	0.00005052	0.00000058	
0.00100000	0.14226246	0.00004322	0.01172772	0.00004942	0.00000041	
0.00100000	0.14107027	0.00004281	0.01167368	0.00004897	0.00000034	
0.00100000	0.14071266	0.00004246	0.01161506	0.00004882	0.00000037	
0.00100000	0.13981521	0.00004197	0.01156109	0.00004856	0.00000033	
0.00100000	0.13958088	0.00004187	0.01151077	0.00004840	0.00000040	
0.00100000	0.13898792	0.00004140	0.01146134	0.00004807	0.00000034	
0.00100000	0.13859282	0.00004134	0.01141031	0.00004788	0.00000038	
0.00100000	0.13836975	0.00004114	0.01136020	0.00004776	0.00000042	
0.00100000	0.13758931	0.00004049	0.01131008	0.00004758	0.00000040	
0.00100000	0.13627956	0.00004016	0.01126061	0.00004735	0.00000038	
0.00100000	0.13591378	0.00004067	0.01121140	0.00004719	0.00000043	
0.00100000	0.13933548	0.00004124	0.01116244	0.00004878	0.00000137	
0.00100000	0.14767978	0.00004331	0.01111366	0.00005240	0.00000350	
0.00100000	0.24413548	0.00006931	0.01106610	0.00010687	0.00003371	
0.00100000	1.85337614	0.00022141	0.01100733	0.00092953	0.00048128	
0.00100000	2.44290851	0.00007518	0.01082816	0.00071566	0.00033381	
0.00100000	0.70545266	0.00004687	0.01089698	0.00024490	0.00008690	
0.00100000	0.37007338	0.00005488	0.01118646	0.00013091	0.00003596	
0.00100000	0.25120182	0.00004781	0.01138501	0.00008588	0.00001736	
