Learning Rate	TrainLoss	TestLoss	TrainL(reglr)	TrainL(bndry)	TrainL(snglr)	TrainL(symtry)	
0.00100000	1.76354697	0.00144245	0.15421190	0.00057528	0.00002973	0.00000512	
0.00100000	1.74683205	0.00144945	0.15392569	0.00057423	0.00002920	0.00000502	
0.00100000	1.79060512	0.00136583	0.15449114	0.00057114	0.00003065	0.00000505	
0.00100000	1.79123516	0.00148220	0.15203323	0.00057596	0.00003168	0.00000502	
0.00100000	1.82350439	0.00143895	0.15384066	0.00057184	0.00003129	0.00000477	
0.00100000	1.78446433	0.00138065	0.15258607	0.00057052	0.00003127	0.00000474	
0.00100000	1.79936884	0.00135905	0.15129456	0.00057389	0.00003022	0.00000482	
0.00100000	1.79420572	0.00143642	0.15110840	0.00057321	0.00003014	0.00000465	
0.00100000	1.79813752	0.00147519	0.15182509	0.00057043	0.00003418	0.00000456	
0.00100000	1.76084907	0.00137011	0.14997368	0.00057367	0.00003619	0.00000448	
0.00100000	1.77230294	0.00129201	0.15410693	0.00056671	0.00003749	0.00000448	
0.00100000	1.85039120	0.00124761	0.15548771	0.00056905	0.00003950	0.00000473	
0.00100000	1.78766032	0.00136548	0.14904778	0.00057570	0.00002866	0.00000478	
0.00100000	1.76420925	0.00136271	0.15021838	0.00056815	0.00002963	0.00000437	
0.00100000	1.80398508	0.00133524	0.14974976	0.00056513	0.00003102	0.00000421	
0.00100000	1.79578006	0.00124342	0.14913324	0.00056570	0.00003212	0.00000426	
0.00100000	1.74607675	0.00136214	0.14812396	0.00057015	0.00003452	0.00000427	
0.00100000	1.74234809	0.00131651	0.14880734	0.00056559	0.00003043	0.00000396	
0.00100000	1.73805931	0.00129375	0.15142218	0.00055797	0.00003687	0.00000395	
0.00100000	1.76736368	0.00131400	0.14661756	0.00056954	0.00003706	0.00000421	
0.00100000	1.82946030	0.00127690	0.15390580	0.00057114	0.00004072	0.00000398	
0.00100000	1.82482836	0.00123130	0.15699921	0.00055739	0.00005139	0.00000449	
0.00100000	1.76963426	0.00127534	0.14860001	0.00056242	0.00004852	0.00000469	
0.00100000	1.77807850	0.00137524	0.14479296	0.00057719	0.00005273	0.00000402	
0.00100000	1.76622369	0.00137178	0.14821307	0.00056622	0.00005310	0.00000477	
0.00100000	1.75615128	0.00123231	0.15074727	0.00056014	0.00003997	0.00000469	
0.00100000	1.77828977	0.00106014	0.14915565	0.00056757	0.00003252	0.00000390	
0.00100000	1.76813493	0.00118681	0.14575973	0.00056784	0.00003428	0.00000373	
0.00100000	1.80277770	0.00125004	0.14378594	0.00057006	0.00003683	0.00000358	
0.00100000	1.70321483	0.00122068	0.14568679	0.00055842	0.00003847	0.00000384	
0.00100000	1.77121756	0.00117685	0.14258829	0.00056350	0.00003250	0.00000352	
0.00100000	1.67287130	0.00124041	0.14222462	0.00056545	0.00003080	0.00000336	
0.00100000	1.69681705	0.00121759	0.14371105	0.00055971	0.00003511	0.00000344	
